,Genotypes,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
10,Athens,0.7446666666666667,12.333333333333334,36.0,103.0,356.0,134.89333333333335,15.566666666666668,20.566666666666666,21.066666666666666,0.6266666666666666,5.543333333333333,36.333333333333336,11.5,23.3,122.0,5.609999999999999,1.6666666666666667
11,Banglore Purple,0.45366666666666666,8.666666666666666,38.0,109.33333333333333,383.9666666666667,180.5666666666667,18.466666666666665,19.566666666666666,18.316666666666666,0.61,5.3566666666666665,66.43333333333334,13.833333333333334,24.0,139.33333333333334,6.243333333333333,2.6666666666666665
12,Barbarossa,0.8220000000000001,9.0,37.0,102.66666666666667,146.70000000000002,58.77333333333333,12.266666666666666,14.033333333333333,22.916666666666668,0.5133333333333333,4.503333333333333,58.0,9.266666666666666,17.633333333333336,128.0,4.59,1.6666666666666667
13,Beauty Seedless,0.49533333333333335,8.333333333333334,37.333333333333336,91.0,399.8,49.666666666666664,12.266666666666666,14.366666666666667,20.349999999999998,0.5499999999999999,7.473333333333334,67.41000000000001,15.9,28.733333333333334,119.66666666666667,0.0,1.3333333333333333
14,Bianca,0.9426666666666667,10.333333333333334,34.0,94.0,159.63666666666668,124.40000000000002,13.266666666666666,13.866666666666667,17.966666666666665,0.5599999999999999,6.433333333333334,41.1,15.843333333333334,18.833333333333332,118.0,7.29,2.0
15,Black Champa,0.721,9.666666666666666,31.0,131.0,165.87333333333333,196.5233333333333,18.099999999999998,18.433333333333334,17.3,0.6633333333333333,4.503333333333334,51.93333333333334,7.333333333333333,16.733333333333334,131.0,6.296666666666667,1.6666666666666667
16,Cabernet Franc clone 312,0.26733333333333337,9.333333333333334,37.333333333333336,110.0,133.85666666666668,63.25,14.1,12.200000000000001,18.566666666666666,0.5466666666666667,4.396666666666667,42.56666666666666,11.066666666666668,15.833333333333334,135.66666666666666,6.403333333333333,2.3333333333333335
17,Candaigua,0.22066666666666668,9.333333333333334,28.666666666666668,104.33333333333333,117.48,241.88666666666666,18.166666666666668,19.8,16.51,0.6533333333333333,3.67,55.63333333333333,8.633333333333333,11.433333333333332,125.0,6.010000000000001,2.3333333333333335
18,Catawba,0.9369999999999999,10.333333333333334,35.666666666666664,104.0,81.89666666666666,105.56666666666666,13.666666666666666,14.6,22.833333333333332,0.7066666666666667,5.383333333333333,53.166666666666664,9.51,19.233333333333334,125.0,6.3500000000000005,2.3333333333333335
19,Cayuga White,0.04866666666666667,11.666666666666666,32.333333333333336,102.33333333333333,66.19666666666666,128.25333333333333,15.933333333333332,16.3,17.19,0.8533333333333334,4.443333333333333,36.833333333333336,9.1,13.133333333333333,125.33333333333333,4.023333333333333,1.3333333333333333
20,Champion,2.643666666666667,13.333333333333334,35.666666666666664,105.66666666666667,54.39000000000001,105.49000000000001,16.366666666666667,18.2,18.616666666666664,0.7633333333333333,4.383333333333333,45.699999999999996,9.299999999999999,11.766666666666666,128.66666666666666,6.0,1.6666666666666667
21,Charark-2,0.782,8.333333333333334,34.333333333333336,101.33333333333333,243.13333333333333,83.78,13.833333333333334,15.1,22.233333333333334,0.7666666666666666,4.803333333333334,37.6,16.400000000000002,17.033333333333335,126.66666666666667,6.683333333333334,2.6666666666666665
22,Charark-3,0.19633333333333333,10.0,33.333333333333336,100.66666666666667,289.0,77.42333333333333,13.933333333333332,14.51,20.416666666666668,0.48333333333333334,5.489999999999999,51.06666666666666,13.6,21.233333333333334,127.0,6.32,2.0
23,Chholtu White,0.24066666666666667,13.0,30.666666666666668,104.0,421.39000000000004,167.95666666666668,16.666666666666668,18.066666666666666,25.400000000000002,0.61,4.6000000000000005,37.86666666666667,10.700000000000001,15.233333333333334,124.33333333333333,2.83,1.6666666666666667
24,Clairette,0.31833333333333336,12.333333333333334,40.333333333333336,110.33333333333333,374.9666666666667,81.18333333333334,14.0,14.433333333333332,19.0,0.63,8.426666666666666,43.76666666666667,18.433333333333334,14.1,129.66666666666666,7.766666666666666,3.0
25,Concord,0.7226666666666667,12.0,31.333333333333332,105.0,391.6366666666667,157.12333333333333,13.6,18.8,18.166666666666668,0.6166666666666667,3.716666666666667,52.66,10.933333333333332,18.266666666666666,133.0,7.346666666666667,2.0
